reading from ../data/room14.txt
1255 T 26.6875
1256 T 26.625
1257 T 26.625
1258 T 26.5625
1259 T 26.625
1260 T 26.625
1261 T 26.5625
1262 T 26.625
1263 T 26.625
1264 T 26.625
1265 T 26.625
1266 T 26.625
1267 T 26.5625
1268 T 26.625
1269 T 26.625
1270 T 26.625
1271 T 26.625
1272 T 26.625
1273 T 26.625
1274 T 26.625
1275 T 26.625
1276 T 26.625
1277 T 26.6875
1278 T 26.625
1279 T 26.625
1280 T 26.625
1281 T 26.625
1282 T 26.625
1283 T 26.625
1284 T 26.625
1285 T 26.625
1286 T 26.625
1287 T 26.6875
1288 T 26.625
1289 T 26.625
1290 T 26.625
1291 T 26.625
1292 T 26.625
1293 T 26.625
1294 T 26.625
1295 T 26.625
1296 T 26.625
1297 T 26.625
1298 T 26.625
1299 T 26.625
1300 T 26.625
1301 T 26.625
1302 T 26.6875
1303 T 26.625
1304 T 26.625
1305 T 26.625
1306 T 26.625
1307 T 26.625
1308 T 26.625
1309 T 26.625
1310 T 26.625
1311 T 26.6875
1312 T 26.6875
1313 T 26.625
1314 T 26.625
1315 T 26.625
1316 T 26.625
1317 T 26.625
1318 T 26.625
1319 T 26.625
1320 T 26.625
1321 T 26.625
1322 T 26.625
1323 T 26.625
1324 T 26.625
1325 T 26.6875
1326 T 26.625
1327 T 26.6875
1328 T 26.625
1329 T 26.5625
1330 T 26.625
1331 T 26.625
1332 T 26.625
1333 T 26.6875
1334 T 26.625
1335 T 26.625
1336 T 26.625
1337 T 26.625
1338 T 26.6875
1339 T 26.625
1340 T 26.625
1341 T 26.625
1342 T 26.625
1343 T 26.625
1344 T 26.625
1345 T 26.6875
1346 T 26.5625
1347 T 26.625
1348 T 26.625
1349 T 26.625
1350 T 26.625
1351 T 26.5625
1352 T 26.625
1353 T 26.625
1354 T 26.625
1355 T 26.6875
1356 T 26.625
1357 T 26.625
1358 T 26.5625
1359 T 26.625
1360 T 26.625
1361 T 26.5625
1362 T 26.625
1363 T 26.625
1364 T 26.625
1365 T 26.625
1366 T 26.625
1367 T 26.625
1368 T 26.625
1369 T 26.625
1370 T 26.6875
1371 T 26.625
1372 T 26.5625
1373 T 26.5625
1374 T 26.625
1375 T 26.625
1376 T 26.625
1377 T 26.625
1378 T 26.625
1379 T 26.625
1380 T 26.625
1381 T 26.625
1382 T 26.5625
1383 T 26.5625
1384 T 26.625
1385 T 26.5625
1386 T 26.625
1387 T 26.625
1388 T 26.5625
1389 T 26.625
1390 T 26.625
1391 T 26.625
1392 T 26.625
1393 T 26.5625
1394 T 26.625
1395 T 26.5625
1396 T 26.625
1397 T 26.5625
1398 T 26.5625
1399 T 26.625
1400 T 26.5625
1401 T 26.625
1402 T 26.5625
1403 T 26.5625
1404 T 26.5625
1405 T 26.5625
1406 T 26.625
1407 T 26.5625
1408 T 26.5625
1409 T 26.5625
1410 T 26.625
1411 T 26.625
1412 T 26.5625
1413 T 26.5625
1414 T 26.5625
1415 T 26.5625
1416 T 26.625
1417 T 26.5625
1418 T 26.5625
1419 T 26.5625
1420 T 26.5625
1421 T 26.5625
1422 T 26.5625
1423 T 26.625
1424 T 26.625
1425 T 26.5625
1426 T 26.625
1427 T 26.5625
1428 T 26.5625
1429 T 26.5625
1430 T 26.625
1431 T 26.5625
1432 T 26.625
1433 T 26.5625
1434 T 26.5625
1435 T 26.5625
